Code,"Continent, Region, Country",century,decade,year,height.cm,year_decade,height.in
40,Austria,18,2,0,163.7,1820,64.44881889763779
40,Austria,18,3,0,163.4,1830,64.33070866141733
40,Austria,18,4,0,164.8,1840,64.88188976377954
40,Austria,18,5,0,165.8,1850,65.27559055118111
40,Austria,18,6,0,166.4,1860,65.51181102362206
40,Austria,18,7,0,167.2,1870,65.8267716535433
40,Austria,18,8,0,167.7,1880,66.02362204724409
40,Austria,18,9,0,168.4,1890,66.2992125984252
40,Austria,19,0,0,168.9,1900,66.49606299212599
40,Austria,19,1,0,168.9,1910,66.49606299212599
40,Austria,19,2,0,170.4,1920,67.08661417322834
40,Austria,19,6,0,177,1960,69.68503937007874
40,Austria,19,7,0,177.5,1970,69.88188976377953
40,Austria,19,8,0,178.8,1980,70.39370078740158
56,Belgium,18,1,0,163.1,1810,64.21259842519686
56,Belgium,18,2,0,163.7,1820,64.44881889763779
56,Belgium,18,3,0,164,1830,64.56692913385827
56,Belgium,18,4,0,165.1,1840,65
56,Belgium,18,5,0,166.1,1850,65.39370078740158
56,Belgium,18,6,0,166.6,1860,65.59055118110236
56,Belgium,18,7,0,166.6,1870,65.59055118110236
56,Belgium,19,0,0,167.8,1900,66.06299212598427
56,Belgium,19,4,0,174.54,1940,68.71653543307086
56,Belgium,19,6,0,176.8,1960,69.60629921259843
280,Federal Republic of Germany (until 1990),18,1,0,167.8,1810,66.06299212598427
280,Federal Republic of Germany (until 1990),18,2,0,167.3,1820,65.86614173228347
280,Federal Republic of Germany (until 1990),18,3,0,166.8,1830,65.66929133858268
280,Federal Republic of Germany (until 1990),18,4,0,166.6,1840,65.59055118110236
280,Federal Republic of Germany (until 1990),18,5,0,163.8,1850,64.48818897637796
280,Federal Republic of Germany (until 1990),18,6,0,165.5,1860,65.15748031496064
280,Federal Republic of Germany (until 1990),18,7,0,166.9,1870,65.70866141732284
280,Federal Republic of Germany (until 1990),18,8,0,167.9,1880,66.10236220472441
280,Federal Republic of Germany (until 1990),18,9,0,168.6,1890,66.37795275590551
280,Federal Republic of Germany (until 1990),19,0,0,169.2,1900,66.61417322834646
280,Federal Republic of Germany (until 1990),19,1,0,170.5,1910,67.1259842519685
280,Federal Republic of Germany (until 1990),19,2,0,173.3,1920,68.22834645669292
280,Federal Republic of Germany (until 1990),19,3,0,174,1930,68.50393700787401
280,Federal Republic of Germany (until 1990),19,4,0,175.2,1940,68.9763779527559
280,Federal Republic of Germany (until 1990),19,5,0,176.8,1950,69.60629921259843
280,Federal Republic of Germany (until 1990),19,6,0,178.9,1960,70.43307086614173
280,Federal Republic of Germany (until 1990),19,7,0,179.4,1970,70.62992125984252
280,Federal Republic of Germany (until 1990),19,8,0,180.5,1980,71.06299212598425
250,France,18,1,0,163.9,1810,64.52755905511812
250,France,18,2,0,163.9,1820,64.52755905511812
250,France,18,3,0,164,1830,64.56692913385827
250,France,18,4,0,164.3,1840,64.68503937007874
250,France,18,5,0,165.2,1850,65.03937007874016
250,France,18,6,0,165.4,1860,65.11811023622047
250,France,18,7,0,165.5,1870,65.15748031496064
250,France,18,8,0,165.9,1880,65.31496062992126
250,France,18,9,0,166.1,1890,65.39370078740158
250,France,19,0,0,166.8,1900,65.66929133858268
250,France,19,1,0,167.8,1910,66.06299212598427
250,France,19,2,0,168.5,1920,66.33858267716536
250,France,19,3,0,169.9,1930,66.88976377952757
250,France,19,4,0,171.7,1940,67.59842519685039
250,France,19,5,0,173.175,1950,68.17913385826772
250,France,19,6,0,174.9,1960,68.85826771653544
250,France,19,7,0,175.1,1970,68.93700787401575
250,France,19,8,0,176.5,1980,69.48818897637796
276,Germany,18,1,0,167.8,1810,66.06299212598427
276,Germany,18,2,0,167.3,1820,65.86614173228347
276,Germany,18,3,0,166.8,1830,65.66929133858268
276,Germany,18,4,0,166.6,1840,65.59055118110236
276,Germany,18,5,0,163.8,1850,64.48818897637796
276,Germany,18,6,0,165.5,1860,65.15748031496064
276,Germany,18,7,0,166.9,1870,65.70866141732284
276,Germany,18,8,0,167.9,1880,66.10236220472441
276,Germany,18,9,0,168.6,1890,66.37795275590551
276,Germany,19,0,0,169.2,1900,66.61417322834646
276,Germany,19,1,0,170.5,1910,67.1259842519685
276,Germany,19,2,0,173.3,1920,68.22834645669292
276,Germany,19,3,0,174,1930,68.50393700787401
276,Germany,19,4,0,175.2,1940,68.9763779527559
276,Germany,19,5,0,176.8,1950,69.60629921259843
276,Germany,19,6,0,178.9,1960,70.43307086614173
276,Germany,19,7,0,179.4,1970,70.62992125984252
276,Germany,19,8,0,180.5,1980,71.06299212598425
528,Netherlands,18,1,0,166,1810,65.35433070866142
528,Netherlands,18,2,0,165.1,1820,65
528,Netherlands,18,3,0,164.2,1830,64.64566929133858
528,Netherlands,18,4,0,164.5,1840,64.76377952755905
528,Netherlands,18,5,0,165.3,1850,65.07874015748031
528,Netherlands,18,6,0,166.5,1860,65.55118110236221
528,Netherlands,18,7,0,167.1,1870,65.78740157480316
528,Netherlands,18,8,0,168.5,1880,66.33858267716536
528,Netherlands,18,9,0,169.4,1890,66.69291338582677
528,Netherlands,19,0,0,170.9,1900,67.28346456692914
528,Netherlands,19,1,0,172.6,1910,67.95275590551181
